"player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","bbref_link","bbref_id","first_season","last_season","espn_link","espn_number","espn_id","first_year_in_school","last_year_in_school","school_1_name","school_1_id","school_2_name","school_2_id","sport_ref_id","school_3_name","school_3_id"
"Ruben Patterson","Ruben","Patterson","ruben","patterson",NA,"p/patteru01","patteru01",2005,2008,"638/ruben-patterson",638,"ruben-patterson",NA,NA,NA,"cincinnati",NA,NA,"ruben-patterson-1",NA,NA
"Ryan Bowen","Ryan","Bowen","ryan","bowen",NA,"b/bowenry01","bowenry01",2005,2010,"84/ryan-bowen",84,"ryan-bowen",NA,NA,NA,"iowa",NA,NA,"ryan-bowen-1",NA,NA
"Ryan Humphrey","Ryan","Humphrey","ryan","humphrey",NA,"h/humphry01","humphry01",2005,2005,"1714/ryan-humphrey",1714,"ryan-humphrey",NA,NA,NA,"oklahoma","Notre","notre-dame","ryan-humphrey-1",NA,NA
"Sam Cassell","Sam","Cassell","sam","cassell",NA,"c/cassesa01","cassesa01",2005,2008,"138/sam-cassell",138,"sam-cassell",NA,NA,NA,"florida-state",NA,NA,"sam-cassell-1",NA,NA
"Samaki Walker","Samaki","Walker","samaki","walker",NA,"w/walkesa01","walkesa01",2005,2006,"882/samaki-walker",882,"samaki-walker",NA,NA,NA,"louisville",NA,NA,"samaki-walker-1",NA,NA
"Samuel Dalembert","Samuel","Dalembert","samuel","dalembert",NA,"d/dalemsa01","dalemsa01",2005,2015,"991/samuel-dalembert",991,"samuel-dalembert",NA,NA,NA,"seton-hall",NA,NA,"samuel-dalembert-1",NA,NA
"Sasha Pavlovic","Sasha","Pavlovic","sasha","pavlovic",NA,"p/pavloal01","pavloal01",2005,2013,"2172/sasha-pavlovic",2172,"sasha-pavlovic",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sasha Vujacic","Sasha","Vujacic","sasha","vujacic",NA,"v/vujacsa01","vujacsa01",2005,2017,"2421/sasha-vujacic",2421,"sasha-vujacic",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scot Pollard","Scot","Pollard","scot","pollard",NA,"p/pollasc01","pollasc01",2005,2008,"664/scot-pollard",664,"scot-pollard",NA,NA,NA,"kansas",NA,NA,"scot-pollard-1",NA,NA
"Scott Padgett","Scott","Padgett","scott","padgett",NA,"p/padgesc01","padgesc01",2005,2007,"630/scott-padgett",630,"scott-padgett",NA,NA,NA,"kentucky",NA,NA,"scott-padgett-1",NA,NA
"Scott Williams","Scott","Williams","scott","williams",NA,"w/willisc01","willisc01",2005,2005,"919/scott-williams",919,"scott-williams",NA,NA,NA,"north-carolina",NA,NA,"scott-williams-1",NA,NA
"Sean Marks","Sean","Marks","sean","marks",NA,"m/marksse01","marksse01",2005,2011,"511/sean-marks",511,"sean-marks",NA,NA,"University of California",NA,NA,NA,"sean-marks-1",NA,NA
"Sebastian Telfair","Sebastian","Telfair","sebastian","telfair",NA,"t/telfase01","telfase01",2005,2015,"2417/sebastian-telfair",2417,"sebastian-telfair",NA,NA,NA,NA,NA,NA,NA,NA,NA
